prompt,completion
"feet cold slippers ? ,","My feet are cold Can I have my slippers?,"
"take contact lenses ? ,","Can you take out my contact lenses?,"
"get new one ? ,","Can I get a new one?,"
"? ,","Have you been there?,"
"careful ,","Be careful,"
",","Do it,"
"many ? ,","How many more?,"
"favor ? ,","Will you do me a favor?,"
"Let ,","Let me,"
"What's happening ? ,","What's happening with you?,"
"find ,","Please find out,"
"Watch ,","Watch out,"
"? ,","So why don't we do that?,"
"? ,","Where?,"
"I'm curious ,","I'm curious,"
"curious ,","I was just curious,"
"Let's see ,","Let's see now,"
"Tell ,","Tell me about it,"
"I'm done ,","I'm done,"
"Perfect ,","Perfect,"
"Get life ,","Get a life,"
"I've got idea ,","I've got an idea,"
"need get away ,","You need to get away from me,"
"Accept decision ,","Accept my decision,"
"trying tell ? ,","What are you trying to tell me?,"
"handle ,","I can handle it,"
"long ,","So long,"
"really feel ,","I really feel I can do it,"
"What's next ? ,","What's next?,"
"That's gross ,","That's gross,"
"That's say ,","That's all I have to say,"
"I've ,","I've had it,"
"want visit relatives ? ,","Do you want to visit your relatives?,"
"let finish anticipate I'm going say ,","Please let me finish Don't anticipate what I'm going to say,"
"could use input ,","I could use some input,"
"think something keep busy ? ,","Can you think of something I can do to keep busy?,"
"Talk soon ,","Talk to you soon,"
"getting ready bed ? ,","Are you getting ready for bed?,"
"Would like go see show ? ,","Would you like to go see a show?,"
"homework ? ,","Did you do your homework?,"
"Stop ,","Stop that,"
"set table ,","Please set the table,"
"know ? ,","How do you know?,"
"complain ,","Don't complain,"
"Put ,","Put that down,"
"could agree less ,","I could not agree less,"
"right ,","That is right,"
"think ,","I don't think so,"
"wrong ,","You are wrong,"
"I'm sure ,","I'm not sure,"
"need rest ,","I need to rest,"
"alone ? ,","Are you alone?,"
"mail ? ,","Can you mail this for me?,"
"go movie ? ,","Can we go to the movie?,"
"bring ? ,","Can you bring me?,"
"comfortable ? ,","Are you comfortable?,"
"everything ? ,","Do I have everything?,"
"want ? ,","Do you want me to?,"
"know ? ,","How will you know?,"
"turn ? ,","How did it turn out?,"
"yes ? ,","Is that a yes or no?,"
"May interrupt ? ,","May I interrupt you?,"
"doubt ,","I doubt that,"
"trying ? ,","What are you trying to do?,"
"tell ? ,","Why didn't you tell me?,"
"? ,","What are you doing?,"
"think ? ,","What did she think about that?,"
"help ? ,","Can you help me please?,"
"? ,","What were they doing?,"
"? ,","What do I do now?,"
",","Where is,"
"amazing ,","You are amazing,"
"sitting ? ,","Where are you sitting?,"
"go ? ,","Why did they go there?,"
"concerned ? ,","Why are you concerned?,"
"? mean ? ,","Why? What do you mean?,"
"Would ? ,","Would you?,"
"prepare dinner ? ,","Will you prepare dinner?,"
"I'm sorry , appointment ,","I'm sorry, but I have an appointment now,"
"Practice makes perfect ,","Practice makes perfect,"
"I'm angry ,","I'm angry,"
"That's interesting ,","That's interesting,"
"Uh-huh ,","Uh-huh,"
"leaving ? ,","When are you leaving?,"
"Right ,","Right,"
"They've lost mind ,","They've lost their mind,"
"I'm finished ,","I'm finished,"
"Let's watch movie ,","Let's watch a movie,"
"Good ,","Good,"
"feeling today ? ,","How you feeling today?,"
"Put ,","Put that there,"
"scratch left ,","Please scratch left,"
"I'm cold ,","I'm cold,"
"I'm thirsty ,","I'm thirsty,"
"idioms ,","so These are idioms,"
"What's score ? ,","What's the score?,"
"? ,","And then?,"
"Keep going ,","Keep going,"
"Wake ,","Wake up,"
"fuck's malfunction ? ,","What the fuck's your malfunction?,"
"Okie dokie ,","Okie dokie,"
"Yeah , leave alone ,","Yeah, you should leave me alone now,"
"want go ,","I want to go out,"
"wrong ,","You're wrong about that,"
"give hand computer ? ,","Can you give me a hand with the computer?,"
",","It's here,"
"know ? ,","Did you know that?,"
"Tell ,","Tell me about yourself,"
"Help ,","Help,"
"understand ? ,","Do you understand me?,"
"Goodbye ,","Goodbye,"
"hear ,","I didn't hear you,"
"Goodnight ,","Goodnight,"
"good ,","For good,"
"wrong ,","You're wrong about that,"
"fast ? ,","How fast?,"
"Hey , Trevor ,","Hey, Trevor,"
"I'll ,","I'll do that now,"
"yet ,","I haven't yet,"
"Tomorrow morning ,","Tomorrow morning,"
"I'll wait ,","I'll wait,"
"tomorrow ,","We will do it tomorrow,"
"twice ,","Once or twice,"
"change position bed ,","Please change the position of the bed up,"
"I'd like lettuce tomato sandwich ,","I'd like to have lettuce and tomato on my sandwich,"
"right away ? ,","Why not do it right away?,"
"really like ,","I really like her,"
"really like ,","I really like them,"
"wait ,","Please wait for me,"
"Goodbye ,","Goodbye,"
"like watch much TV ,","I don't like to watch too much TV,"
"patient ,","Please be patient,"
"I'm mad ,","I'm not mad at you,"
"help wash face ? ,","Can you help me wash my face?,"
"I'm really hard time ,","I'm really having a hard time,"
"feels good ,","It feels good,"
"Nice talk ,","Nice to talk to you,"
"sounds confusing ,","It sounds confusing,"
"amazing ,","It's amazing,"
"hurts ,","That hurts,"
"jerk ,","What a jerk,"
"safe flight ,","Have a safe flight,"
"sunny ,","It's sunny,"
"Lucas ,","Lucas,"
"amazing ,","That is amazing,"
"foggy ,","It's foggy,"
"Jeff ,","Jeff,"
"cloudy ,","It's cloudy,"
"Let's go outside ,","Let's go outside,"
"worry ,","I worry about,"
"hot ,","It's very hot,"
"hot humid today ,","It's hot and humid today,"
"rain forecast ,","There is no rain in the forecast,"
"Enjoy vacation ,","Enjoy your vacation,"
"Good luck ,","Good luck,"
"play movie ? ,","Can you play a movie?,"
"good ,","It's good to be in here,"
"Happy anniversary ,","Happy anniversary,"
"need help putting socks ,","I need help putting on my socks,"
"Let go ,","Let me go,"
"need help picking ,","I need your help picking that up,"
"request ,","This is a request,"
"? ,","How about?,"
"Turn ,","Turn it over,"
"I'd better go ,","I'd better go,"
"Excellent ,","Excellent,"
"get going ,","I have to get going,"
"way ,","No way,"
"? ,","What?,"
"Oh God ,","Oh my God,"
"kidding ,","No kidding,"
"That's nasty ,","That's nasty,"
"That's great ,","That's great,"
"See soon ,","See you soon,"
"Explain ,","Explain that to me,"
"keep mind person ,","Please keep in mind I am in person,"
"touch ,","Please don't touch me,"
"That's problem ,","That's my problem,"
"interrupt ,","Please don't interrupt,"
"keep mind healthy ,","Please keep in mind that I was very healthy,"
"keep mind healthy ,","Please keep in mind that I was very healthy,"
"That's last straw ,","That's the last straw,"
"finish homework ? ,","Did you finish your homework?,"
"sounds desperate ,","That sounds desperate,"
"mess ,","Don't mess me up,"
"That's wonderful ,","That's wonderful,"
"? ,","What?,"
"missed boat ,","You missed the boat,"
"long ? ,","How long?,"
"know ? ,","How do you know?,"
"know ? ,","How do you know?,"
"agree ,","I agree with that,"
"? ,","What is it?,"
"answer phone ? ,","Can you answer the phone?,"
"agree ,","I agree,"
"right ,","That is right,"
"agree ,","I don't agree,"
"true ,","That is true,"
"funny ? ,","Too funny?,"
"said ? ,","Who said so?,"
"stop ? ,","Why didn't you stop it?,"
"could possibly happen ? ,","What could possibly happen?,"
"? ,","Who is that?,"
"Really ,","Really,"
"Amazing ,","Amazing,"
"? ,","Why won't you be there?,"
"Amazing ,","Amazing,"
"Who's coming ? ,","Who's coming?,"
"kidding ,","You're kidding,"
"gotta kidding ,","You gotta be kidding me,"
"coming ? ,","When are they coming?,"
"OK ,","OK,"
"want stay home ,","I want to stay home,"
"cool ? ,","Isn't that so cool?,"
"help wash hands ? ,","Can you help me wash my hands?,"
"going movies ,","We are going to the movies,"
",","It's over there,"
"work ,","It doesn't work,"
"I'm bathroom ,","I'm in the bathroom,"
"work ,","It just doesn't work,"
"feel great ,","I feel great,"
"Turn ,","Turn it off,"
"help pick ? ,","Can you help me pick up?,"
"headache ,","I have a headache,"
"need move ,","I need to move,"
"help clean ? ,","Can you help me clean up?,"
"? ,","How have you been?,"
"read ? ,","Can you read to me?,"
"What's ? ,","What's up?,"
"turn ? ,","Can you turn me over?,"
"? ,","What have you been up to?,"
"get ,","I get it,"
"get ,","I don't get it,"
"Huh ,","Huh,"
"Let's see ,","Let's see,"
"Hey , Anna ,","Hey, Anna,"
"changed mind ,","I changed my mind,"
"misunderstood ,","You misunderstood me,"
"say ? ,","What did you say?,"
"Good morning ,","Good morning,"
"right ,","You're right about that,"
"need bedpan ,","I need a bedpan,"
"Hello ,","Hello,"
"Hey , Mom ,","Hey, Mom,"
"Hi ,","Hi,"
"Hey , Lucas ,","Hey, Lucas,"
"Hey , Hazel ,","Hey, Hazel,"
"Hey , Anna ,","Hey, Anna,"
"Hey , Sandro ,","Hey, Sandro,"
"? ,","How are you doing?,"
"Hey , Kayla ,","Hey, Kayla,"
"Hey , Raz ,","Hey, Raz,"
"How's going ? ,","How's it going?,"
"I'm sorry ,","I'm sorry,"
"Oops ,","Oops,"
"thanks ,","No thanks,"
"Pardon ? ,","Pardon me?,"
"Ouch ,","Ouch,"
",","Please,"
"Thank ,","Thank you,"
"What's new ? ,","What's new?,"
"What's ? ,","What's up?,"
"look great ,","You look great,"
"Watch ,","Watch out,"
"look bored ,","You look bored,"
"look sad ,","You look sad,"
"need call family ,","I need you to call my family,"
"look tired ,","You look tired,"
"week ,","About a week,"
"long time ago ,","A long time ago,"
"quite yet ,","Not quite yet,"
"takes time ,","It takes time,"
"dinner ,","For dinner,"
"Late night ,","Late at night,"
"time ? ,","What time is it?,"
"back ? ,","When will you be back?,"
"glass water ? ,","Can I have a glass of water?,"
"open door ,","Please open the door,"
"want dessert ,","I don't want any dessert,"
"help get dressed ,","Please help me get dressed,"
"I'm hungry breakfast ,","I'm hungry for some breakfast,"
",","He can do it,"
"little better ,","A little better,"
"turn lights ,","Please turn off the lights,"
"blew ,","I blew it,"
"I'm getting ,","I'm getting it,"
"like ,","I don't like it,"
"need ,","I need it,"
"disagree ,","I disagree,"
"love ,","I love it,"
"think messed ,","I think I messed up,"
"think I've enough ,","I think I've had enough,"
"pleasure meeting ,","It's been a pleasure meeting you,"
"Get life ,","Get a life,"
"way ,","No way,"
"Excellent ,","Excellent,"
"That's crazy shit ,","That's some crazy shit,"
"That's great ,","That's just great,"
"see ? ,","When will I see you again?,"
"That's wonderful ,","That's wonderful,"
"true ,","That is true,"
"stop ? ,","Why didn't you stop it?,"
"agree ,","I don't agree,"
"thinking ? ,","What were you thinking?,"
"know ? ,","How do you know?,"
"think already said ,","I think I already said that,"
"I'm sure that's right ,","I'm sure that's right,"
"could told ,","You could have told me,"
"can't get work ,","I can't get it to work,"
"wrong ,","You're wrong about that,"
"go ,","I don't have to go with you,"
"work properly ,","It doesn't work properly,"
"Turn ,","Turn it off,"
"want stay home ,","I want to stay home,"
"help balance account ? ,","Can you help me balance the account?,"
"Call ,","Call me when you can,"
"I'm kitchen ,","I'm in the kitchen,"
"Put ,","Put that here,"
"going eat ,","We are going out to eat,"
"itch ,","I have an itch,"
"need rest ,","I need to rest,"
"help clean ? ,","Can you help me clean up?,"
"make reservation ,","We have to make a reservation,"
"socks ? ,","Can I have my socks?,"
"Help ,","Help,"
"Come talk ,","Come over and talk to me,"
"scratch higher ,","Please scratch higher,"
"Excuse interrupting ,","Excuse me for interrupting,"
"bands like ? ,","What bands do you like?,"
"old ? ,","How old are you?,"
"need bedpan ,","I need a bedpan,"
"nice meet ,","It's nice to meet you,"
"would like ,","I would like to,"
"Tell job ,","Tell me about your job,"
"What's ? ,","What's up?,"
"think Patriots ? ,","What do you think about the Patriots?,"
"Thanks telling ,","Thanks for telling me that,"
"going ? ,","Where are you going?,"
"Excuse interrupting ,","Excuse me for interrupting,"
"change position bed ,","Please change the position of the bed up,"
"Let's change subject ,","Let's just change the subject,"
"I'm going start ,","I'm going to start over,"
", , ,","No, no, no,"
"understand saying ,","I don't understand what you're saying,"
"wrong ,","You're wrong about that,"
"Good night ,","Good night,"
"Good morning ,","Good morning,"
"Wait , let rephrase ,","Wait, let me rephrase that,"
"close window ,","Please close the window,"
"Hello ,","Hello,"
"Hey , Anna ,","Hey, Anna,"
"Hey , Sarah ,","Hey, Sarah,"
"? ,","How are you doing?,"
"Pardon ? ,","Pardon me?,"
"Hey , Hazel ,","Hey, Hazel,"
"Tell family ,","Tell me about your family,"
"lunch ,","At lunch,"
"look great ,","You look great,"
"thanks ,","No thanks,"
"look bored ,","You look bored,"
"finished yet ? ,","Are we finished yet?,"
"Come back later ,","Come back later,"
"good ,","For good,"
"go ,","Before you go,"
"fast ? ,","How fast can you do it?,"
"often get ? ,","How often can I get it?,"
"still eaten yet ,","I still haven't eaten yet,"
"I'll waiting ,","I'll be waiting,"
"need call nurse ,","I need you to call the nurse,"
"time leave ,","It is time to leave,"
"change position chair leg ,","Please change the position of the chair leg,"
"Late night ,","Late at night,"
"say ? ,","Can you say that again?,"
"time leave ,","It's time to leave,"
"close door ,","Please close the door,"
"Ready waiting ,","Ready and waiting,"
"anymore ,","Not anymore,"
",","Once in a while,"
"Wait minute ,","Wait a minute,"
"time would done ? ,","What time would I be done?,"
"time going ? ,","What time am I going?,"
"hungry ? ,","Are you hungry?,"
"I'm going eat ,","I'm going to eat,"
"help dinner ? ,","Can you help me with my dinner?,"
"munch nuts ? ,","Can I munch on some nuts?,"
"I'm hungry ,","I'm not hungry,"
"would like candy bar ,","I would like a candy bar,"
"cherise ? ,","Can I have some cherise?,"
"would like pair ,","I would like to have a pair,"
"would like dessert ,","I would like some dessert now,"
"I'd like eggs poached ,","I'd like my eggs poached,"
"like ,","I do not like,"
"back ? ,","When will you be back?,"
"I'd like eat breakfast soon ,","I'd like to eat breakfast soon,"
"like food ,","I like this food,"
"never liked ,","I never liked her,"
"Goodbye ,","Goodbye,"
"I've never liked ,","I've never liked her,"
"really want ,","I didn't really want to,"
"get scared death ,","I get scared to death,"
"I'll get used ,","I'll get used to it,"
"I'm really worried ,","I'm really worried about it,"
"I'm sleepy ,","I'm very sleepy,"
"think he's little mean ,","I think he's a little mean,"
"sounds good ,","It sounds good,"
"amazing ,","That is amazing,"
"important ,","It's not important,"
"always heart ,","You will always be in my heart,"
"That's wonderful ,","That's wonderful,"
"worry ,","I worry about,"
",","I am here for you,"
"humid ,","It's very humid,"
"hope rain ,","I hope it doesn't rain,"
"help put makeup ? ,","Can you help me put on some makeup?,"
"Happy anniversary ,","Happy anniversary,"
"need help ,","I need help now,"
"Check right ,","Check if it's right,"
"Watch ,","Watch out,"
"I'll talk soon ,","I'll talk to you soon,"
"favor ? ,","Will you do me a favor?,"
"stay ? ,","Will you stay for a while?,"
"come back ? ,","When will you come back?,"
"believe ? ,","Can you believe that?,"
"can't believe ,","I can't believe that,"
"kidding ,","No kidding,"
"Give break ,","Give me a break,"
"can't believe ,","I can't believe,"
"doubt ,","I doubt that,"
"Perfect ,","Perfect,"
"going home ,","I am going home,"
"straighten room ? ,","Did you straighten up your room?,"
"concerned ? ,","Should I be concerned?,"
"Would like go outside ? ,","Would you like to go outside?,"
"Stop ,","Stop that,"
"want help homework ? ,","Do you want me to help you with your homework?,"
"agree ,","I agree with you,"
"I'm cold ,","I'm cold,"
"need move ,","I need to move,"
"I'm OK ,","I'm OK,"
"make sense ? ,","Does that make sense?,"
"think wrong ,","I think you're wrong,"
"hurt ? ,","Did it hurt?,"
"day ? ,","How was your day off?,"
"? ,","What about you?,"
"Would ? ,","Would you?,"
"go ? ,","Why did she go there?,"
"get ? ,","Where can I get it?,"
"next plan ? ,","What is the next plan?,"
"I'm tired ,","I'm tired,"
"Come talk ,","Come talk with me,"
"I'd like watch movie ,","I'd like to watch a movie,"
"OK ,","OK,"
"read ? ,","Can you read to me?,"
"Help put pants ,","Help me put on my pants,"
"wash hair ? ,","Can you wash my hair?,"
"head hurts ,","My head hurts,"
"use machine communicate ,","I use this machine to communicate,"
"use machine communicate ,","I use this machine to communicate,"
"Tell ,","Tell me about,"
"button coat ? ,","Can you please button my coat?,"
"talk ? ,","Can we talk?,"
"family ,","Your family,"
"understand ? ,","Do you understand me?,"
"? ,","What are you here for?,"
"need talk ,","We need to talk,"
"get ,","I don't get it,"
"understand mean ? ,","Do you understand what I mean?,"
"think that's correct ,","I think that's correct,"
"understand ,","I don't understand,"
"change position bed left ,","Please change the position of the bed to the left,"
", meant something else ,","No, I meant something else,"
"Hey ,","Hey,"
"heard anything ? ,","Have you heard anything?,"
"What's ? ,","What's up?,"
",","For a while,"
"longer ,","No longer,"
"time allows ,","If time allows,"
"hurry ,","Please hurry up,"
"remember last time ,","I remember the last time I did that,"
"I'll right back ,","I'll be right back,"
"early ,","Too early for me,"
"Tomorrow morning ,","Tomorrow morning,"
"Better hurry ,","Better hurry,"
"got time ,","You've got time,"
"I'd like eggs easy ,","I'd like my eggs over easy,"
"would rather eat ,","I would rather eat,"
"right away ? ,","Why not do it right away?,"
"would like dessert later ,","I would like to have dessert later,"
"I'd like cup tea ,","I'd like to have a cup of tea,"
"Like cup hot chocolate ? ,","Like to have a cup of hot chocolate?,"
"I'd like eat breakfast ,","I'd like to eat breakfast now,"
"Goodbye ,","Goodbye,"
"hear ? ,","Can you hear me?,"
"I'd like see ,","I'd like to see you again,"
"patient ,","Please be patient,"
"safe trip ,","Have a safe trip,"
"want share rest life ,","I want to share the rest of my life with you,"
"Nice talk ,","Nice to talk to you,"
"That's feel way ,","That's why I feel the way I do,"
"can't stand ,","I can't stand this,"
"? ,","How about?,"
"feel ? ,","How do you feel about that?,"
"many ? ,","How many more?,"
"hot ,","It's very hot,"
"Let ,","Let me,"
"help get ready bed ? ,","Can you help me get ready for bed?,"
"Let go ,","Let me go,"
"Turn ,","Turn it over,"
"request ,","This is a request,"
"See soon ,","See you soon,"
"Thanks visiting ,","Thanks for visiting,"
"serious ? ,","Are you serious?,"
"Nigga , what's wrong ? ,","Nigga, what's wrong with you?,"
"stay help finish ? ,","Will you stay and help me finish this?,"
"Oh God ,","Oh my God,"
"That's crazy ,","That's crazy,"
"That's beautiful ,","That's beautiful,"
"? ,","What?,"
"agree ,","I agree,"
"That's nasty ,","That's nasty,"
"know ? ,","How do you know?,"
"agree ,","I agree with that,"
"right ,","That is right,"
"true ,","That is true,"
"said ? ,","Who said so?,"
"funny ? ,","Too funny?,"
"go ,","I don't have to go,"
"kidding ,","You're kidding,"
"going movies ,","We are going to the movies,"
"make adjustment ? ,","Can you make an adjustment?,"
"I'm room ,","I'm in my room,"
"work ,","It just doesn't work,"
"work ,","It doesn't work,"
"? ,","What?,"
"answer phone ? ,","Can you answer the phone?,"
"stop nagging ,","Please stop nagging,"
"stop ,","Please stop,"
"help shave ? ,","Can you help me shave?,"
"help take shower ? ,","Can you help me take a shower?,"
"feel like eating ,","I don't feel like eating,"
"Would like go lunch ? ,","Would you like to go out for lunch?,"
"feel great ,","I feel great,"
"Would like go dinner ? ,","Would you like to go out for dinner?,"
"Need massage ? ,","Need a massage?,"
"agree ,","I agree,"
"I'm hungry ,","I'm hungry,"
"I'm hot ,","I'm hot,"
"help pick ? ,","Can you help me pick up?,"
"I'm wide awake ,","I'm wide awake,"
"I'm thirsty ,","I'm thirsty,"
"read book ? ,","Can you read me a book?,"
"turn ? ,","Can you turn me over?,"
"full ,","I am full,"
"read ,","Please read to me,"
"missed boat ,","You missed the boat,"
"help shoes ,","You help me with my shoes,"
"would like eat fish ,","I would like to eat some fish,"
"turn heat ,","Please turn off the heat,"
"hope see ,","I hope to see you again,"
"would like eat steak ,","I would like to eat a steak,"
"would like banana ,","I would like to have a banana,"
"would like soup ,","I would like to have some soup,"
"I'd like bowl soup ,","I'd like a bowl of soup,"
"would like blueberries ,","I would like to have some blueberries,"
"I'd like cup coffee black ,","I'd like to have a cup of coffee black,"
"I'll finish later , I'm full ,","I'll finish this later, I'm full,"
"like food ,","I don't like this food,"
"give call tonight ? ,","Can you give me a call tonight?,"
"? ,","How are you?,"
"nice talk ,","It was nice to talk with you,"
"call soon ,","I will call you soon,"
"Let's talk soon ,","Let's talk soon,"
"Talk later ,","Talk to you later,"
"May take message ? ,","May I take a message?,"
"Mr Lomba ,","This is Mr Lomba,"
"Thank calling ,","Thank you for calling,"
"I'm getting ,","I'm getting it,"
"Goodnight ,","Goodnight,"
",","He can do it,"
"like ,","I don't like it,"
"need ,","I need it,"
"love ,","I love it,"
"blew ,","I blew it,"
"get cranky ,","I get cranky,"
"nice day ,","Have a nice day,"
"safe flight ,","Have a safe flight,"
"wish could ,","I wish I could,"
",","Do it,"
"John ,","John,"
"Good luck ,","Good luck,"
"I'm sorry ,","I'm sorry,"
"coming ? ,","Are you coming?,"
",","Do it,"
"mess ,","Don't mess with it,"
"Guess want ? ,","Guess what I want?,"
"would feel ? ,","How would you feel?,"
"Help ,","Help me out,"
"Let's go ,","Let's go,"
"Let's ,","Let's do it,"
"I'll show want ,","I'll show you what I want,"
"What's new ? ,","What's new?,"
"? ,","Why?,"
"? ,","Where?,"
"? ,","When?,"
"Would ? ,","Would you do it?,"
"Would come ? ,","Would you come?,"
"could help little ,","You could help a little,"
"could help little ,","You could help a little,"
"better come ,","You'd better come,"
"See later ,","See you later,"
"long ,","So long,"
"kidding ? ,","Are you kidding me?,"
"Would help shirt ? ,","Would you help me with my shirt?,"
"ridiculous ,","Don't be ridiculous,"
"Ah , God's sakes ,","Ah, for God's sakes,"
"emergency ,","This is an emergency,"
"crazy ? ,","Are you crazy?,"
"That's amazing ,","That's amazing,"
"Get ,","Get out of here,"
"Really ,","Really,"
"That's perfect ,","That's just perfect,"
"That's gross ,","That's gross,"
"That's last straw ,","That's the last straw,"
"That's really great ,","That's really great,"
"sounds desperate ,","That sounds desperate,"
"That's wonderful ,","That's wonderful,"
"Unbelievable ,","Unbelievable,"
"doubt ,","I don't doubt that,"
"think ,","I don't think so,"
"Unfortunately ,","Unfortunately,"
"think already said ,","I think I already said that,"
"want go home ,","I want to go home,"
"missed boat ,","You missed the boat,"
"I'm sure ,","I'm not so sure,"
"right ,","You're right about that,"
"gone ? ,","Is he gone?,"
"room ,","In my room,"
"going ,","We are going now,"
"? ,","Where is it?,"
",","It's here,"
"Put ,","Put that there,"
"I'm bedroom ,","I'm in the bedroom,"
"I'm ,","I'm here,"
"need appointment dentist ,","I need an appointment with the dentist,"
"I'm curious ,","I'm curious,"
"Let answer ,","Let me answer,"
"say ? ,","What did he say?,"
"say ? ,","What did they say?,"
"What's wrong ? ,","What's wrong?,"
"? ,","What is it now?,"
",","Do it,"
"What's ? ,","What's up?,"
"tired ,","I am tired,"
"Everything bothers ,","Everything bothers me,"
"feel angry ,","I feel angry,"
"remove ,","Please remove that,"
"feel sad ,","I feel sad,"
"I'm uncomfortable ,","I'm uncomfortable,"
"headache ,","I have a headache,"
"would like lay flat ,","I would like to lay flat,"
"evening ? ,","What did you do this evening?,"
"homework ? ,","Did you do your homework?,"
"wrong ,","You are wrong,"
"day work ? ,","How was your day at work?,"
